Lycoperdon pusillum
Lycoperdon pyriforme
Macrolepiota rhacodes
Macrotyphula juncea
Marasmiellus candidus
Marasmius capillaris
Marasmius oreades
Marasmius pulcherripes
Marasmius rotula
Medusamyces lunulosporus
Melanotus abietinus
Meria harposporioides
Microglossum rufum
Mitrophora semilibera
Monotropa uniflora
Morchella elata
Morchella esculenta
Morchella semilibera
Morganella subincarnata
Mucronella bresadolae
Mucronella pendula
Mutinus ravenelii
Mutinus elegans
Mycena amabilissima
Mycena aurantiidisca
Mycena epipterygia
Mycena galericulata
Mycena haematopus
Mycena leaiana
Mycena rorida
Mycena rosella
Mycena strobilinoides
Mycogone cervinus
Mycogone perniciosa
Myriostoma coliformis
Myzocytiopsis humicola
Nectria cinnabarina
Neobulgaria pura
Neocudoniella albiceps
Neolecta irregularis
Nidula niveo-tomentosa
Nolanea murraii
Nolanea quadrata
Nyctalis parasitica
Olpidium vermicola
Onnia tomentosa
Otidea auricula
Otidea onotica
Otidea tuomikoskii
Pachyella clypeata
Panaeolina foenisecii
Panellus longinquus
Penicillium cyclopium
Penicillium digitatum
Penicillium italicum
Peniophorella praetermissum
Periconia macrospinosa
Peziza cerea
Peziza domiciliana
Phaeocollybia californica
Phaeolus schweinitzii
Phallus ravenelii
Pholiota aurivella
Pholiota carbonaria
Pholiota flammans
Pholiota granulosa
Pholiota squarrosa
Pholiota squarrossoides
Phragmidium mucronata
Phycomyces blakesleeanus
Phylloporus rhodoxanthus
Phyllotopsis nidulans
Phyllotus porrigen
Physalacria inflata
Physarum polycephalum
Phytophthora infestans
Pilobolus crystallinus
Pleurotus dryinus
Pleurotus ostreatus
Pluteus atricapillus
Pluteus atromarginatus
Pluteus tomentosulus
Pluteus umbrosus
Polyporus squamosus
Postia caesia
Psathyrella delineata
Psathyrella longistriata
Psathyrella velutina
Pseudohydnum gelatinosum
Ptychoverpa bohemica
Pythium caudatum
Puccinia coronata
Puccinia graminis
Puccinia lagenophorae
Pycnoporellus alboluteus
Pycnoporus cinnabarinus
Ramaria araiospora
Ramaria aurea
Ramaria stricta
Ramariopsis crocea
Ramariopsis laeticolor
Ramariopsis kunzei
Rhizophydium pollonis
Rhizopus stolonifer
Rhodotus palmatus
Rhopalomyces elegans
Rhytisma punctatum
Roseodiscus subcarneus
Rozites caperata
Russula claroflava
Russula decolorans
Saccharomyces cereviseae
Saccobolus glaber
Sarcodon fuscoindicus
Sarcodon imbricatus
Sarcoscypha occidentalis
Sarcoscypha austriaca
Schizophyllum commune
Scleroderma areolatum
Scleroderma aurantium
Sclerotinia sclerotiorum
Scutellinia erinacea
Scutellinia scutellata
Sepedonium chrysospermum
Serpula lacrymans
Sordaria fimicola
Sowerbyella rhenana
Sphaerobolus stellatus
Spathulariopsis velutipes
Spinellus fusiger
Spirogyromyces vermicola
Staphylotrichum coccosporum
Stereum ostrea
Strobilomyces strobilaceus
Strobilurus trullisatus
Stropharia aeruginosa
Stropharia ambigua
Stropharia hardii
Stropharia hornemannii
Stropharia semiglobata
Stylopage hadra
Suillus aeruginascens
Suillus brevipes
Suillus cavipes
Suillus granulatus
Suillus grevillei
Suillus spraguei
Suillus umbonatus
Syncephalastrum racemosum
Syncephalis nodosa
Syzygospora mycetophila
Taphrina deformans
Tectella patellaris
Tetracoccosporium paxianum
Tetrapyrgos subdendrophora
Thamnidium elegans
Thaxterogaster porphyreus
Thecothejus pelletieri
Thelephora caryophyllea
Thelephora palmata
Trametes versicolor
Tremella foliacea
Tremella mesenterica
Tremella reticulata
Tremellodendropsis semivestitum
Tremiscus helvelloides
Triacutus subcuticularis
Trichaptum biforme
Trichoglossum hirsutum
Tricholoma alboviolaceum
Tricholoma saponaceum
Tricholoma myomyces
Tricholoma portentosum
Tricholoma virgatum
Tricholomopsis rutilans
Trichurus spiralis
Tylopilus felleus
Typhula incarnata
Uncinula necator
Varicosporium elodeae
Volutella ciliata
Venturia inaequalis
Xeromphalina campanella
Xerula furfuracea
Xylaria hypoxylon
Xylaria longipes
Xylaria polymorpha
Xylobolus frustulatus
Zoophagus insidians
